Time,Power (W),Rpm,Pulse,Target pulse
2013-04-13T15:07:41,0,35,95,0
2013-04-13T15:07:42,75,48,96,0
2013-04-13T15:07:43,75,61,97,0
2013-04-13T15:07:44,75,64,97,0
2013-04-13T15:07:45,75,67,98,0
2013-04-13T15:07:46,75,67,98,0
2013-04-13T15:07:47,75,68,98,0
2013-04-13T15:07:48,75,69,98,0
2013-04-13T15:07:49,75,69,98,0
2013-04-13T15:07:50,75,69,99,0
2013-04-13T15:07:51,75,70,99,0
2013-04-13T15:07:52,75,72,99,0
2013-04-13T15:07:53,75,73,99,0
2013-04-13T15:07:54,75,74,99,0
2013-04-13T15:07:55,75,74,99,0
2013-04-13T15:07:56,75,74,99,0
2013-04-13T15:07:57,75,73,99,0
2013-04-13T15:07:58,75,72,99,0
2013-04-13T15:07:59,75,72,99,0
2013-04-13T15:08:00,75,72,99,0
2013-04-13T15:08:01,75,72,99,0
2013-04-13T15:08:02,75,72,99,0
2013-04-13T15:08:03,75,72,99,0
2013-04-13T15:08:04,75,72,99,0
2013-04-13T15:08:05,75,72,99,0
2013-04-13T15:08:06,75,72,99,0
2013-04-13T15:08:07,75,72,99,0
2013-04-13T15:08:08,75,73,99,0
2013-04-13T15:08:09,75,73,99,0
2013-04-13T15:08:10,75,74,99,0
2013-04-13T15:08:11,75,75,100,0
2013-04-13T15:08:12,75,75,100,0
2013-04-13T15:08:13,75,75,100,0
2013-04-13T15:08:14,75,75,100,0
2013-04-13T15:08:15,75,75,100,0
2013-04-13T15:08:16,75,75,100,0
2013-04-13T15:08:17,75,76,100,0
2013-04-13T15:08:18,75,77,100,0
2013-04-13T15:08:19,75,77,100,0
2013-04-13T15:08:20,75,78,100,0
2013-04-13T15:08:21,75,77,100,0
2013-04-13T15:08:22,75,77,100,0
2013-04-13T15:08:23,75,76,100,0
2013-04-13T15:08:24,75,76,100,0
2013-04-13T15:08:25,75,76,100,0
2013-04-13T15:08:26,75,76,100,0
2013-04-13T15:08:27,75,76,100,0
2013-04-13T15:08:28,75,76,100,0
2013-04-13T15:08:29,75,75,100,0
2013-04-13T15:08:30,75,75,100,0
2013-04-13T15:08:31,75,75,101,0
2013-04-13T15:08:32,75,75,101,0
2013-04-13T15:08:33,75,75,101,0
2013-04-13T15:08:34,75,75,101,0
2013-04-13T15:08:35,75,75,101,0
2013-04-13T15:08:36,75,75,101,0
2013-04-13T15:08:37,75,76,102,0
2013-04-13T15:08:38,75,76,102,0
2013-04-13T15:08:39,75,76,102,0
2013-04-13T15:08:40,75,76,102,0
2013-04-13T15:08:41,75,77,102,110
2013-04-13T15:08:42,75,76,102,110
2013-04-13T15:08:43,75,76,103,110
2013-04-13T15:08:44,75,76,103,110
2013-04-13T15:08:45,75,76,103,110
2013-04-13T15:08:46,75,76,103,110
2013-04-13T15:08:47,75,76,103,110
2013-04-13T15:08:48,75,76,103,110
2013-04-13T15:08:49,75,76,103,110
2013-04-13T15:08:50,75,76,103,110
2013-04-13T15:08:51,75,76,103,110
2013-04-13T15:08:52,75,76,103,110
2013-04-13T15:08:53,75,77,103,110
2013-04-13T15:08:54,75,77,103,110
2013-04-13T15:08:55,75,78,103,110
2013-04-13T15:08:56,75,78,103,110
2013-04-13T15:08:57,75,77,103,110
2013-04-13T15:08:58,80,77,103,110
2013-04-13T15:08:59,80,76,104,110
2013-04-13T15:09:00,80,76,104,110
2013-04-13T15:09:01,80,76,104,110
2013-04-13T15:09:02,80,76,104,110
2013-04-13T15:09:03,80,75,104,110
2013-04-13T15:09:04,80,75,104,110
2013-04-13T15:09:05,80,75,104,110
2013-04-13T15:09:06,80,75,104,110
2013-04-13T15:09:07,80,75,104,110
2013-04-13T15:09:08,80,75,105,110
2013-04-13T15:09:09,80,75,105,110
2013-04-13T15:09:10,80,76,105,110
2013-04-13T15:09:11,80,76,105,110
2013-04-13T15:09:12,80,76,106,110
2013-04-13T15:09:13,80,76,106,110
2013-04-13T15:09:14,80,76,106,110
2013-04-13T15:09:15,80,76,106,110
2013-04-13T15:09:16,80,76,106,110
2013-04-13T15:09:17,80,77,107,110
